FID,db_98s17_h,objectid,clogracodi,nlograconc,nlgpavofic,nlgpavresu,flgpavindp,indpav,ct,nmperimetr,nmtpvia,ttrechosul,db2gse_sde,sel,st_length_,Shape__Len
68.000000000000000,66.000000000000000,61620.000000000000000,67822.000000000000000,RUA DOS ARRECIFES,Rua dos Arrecifes,R. dos Arrecifes,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,57.055504970000001,0.000000000000000,57.621749923199999,57.621749923043090
70.000000000000000,68.000000000000000,61622.000000000000000,67857.000000000000000,RUA BIONE,Rua Bione,R. Bione,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,176.621652549999993,0.000000000000000,178.397936367999989,178.397936369110681
91.000000000000000,89.000000000000000,61644.000000000000000,67938.000000000000000,RUA BARAO RODRIGUES MENDES,Rua Barão Rodrigues Mendes,R. Barão Rodrigues Mendes,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,146.955687280000006,0.000000000000000,148.637067070000001,148.637067070305051
620.000000000000000,1110.000000000000000,62661.000000000000000,4391.000000000000000,TRV DO AMORIM,Travessa do Amorim,Trv do Amorim,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,111.843562100000000,0.000000000000000,112.956599455000003,112.956599456551572
838.000000000000000,1324.000000000000000,62873.000000000000000,6564.000000000000000,C DO APOLO,Cais do Apolo,C. do Apolo,S,Via Pavimentada,CTUP,,,2022/03/10 21:00:00.000,2211.619846149999830,0.000000000000000,2246.599353980000160,2246.599353980957403
839.000000000000000,1325.000000000000000,62874.000000000000000,6572.000000000000000,RUA DO APOLO,Rua do Apolo,R. do Apolo,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,271.740679740000019,0.000000000000000,275.638999812999998,275.638999810869052
999.000000000000000,1487.000000000000000,63045.000000000000000,8567.000000000000000,RUA DR ASCANIO PEIXOTO,Rua Dr Ascânio Peixoto,R. Dr Ascanio Peixoto,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,1020.413101740000002,0.000000000000000,1034.940307309999980,1034.940307305061879
1513.000000000000000,2490.000000000000000,64041.000000000000000,19429.000000000000000,RUA MADRE DE DEUS,Rua Madre de Deus,R. Madre de Deus,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,423.800401959999988,0.000000000000000,430.719474499000000,430.719474496311193
1521.000000000000000,1508.000000000000000,63052.000000000000000,8648.000000000000000,RUA DA ASSEMBLEIA,Rua da Assembleia,R. da Assembleia,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,125.692980649999996,0.000000000000000,127.704383901000000,127.704383902661675
1635.000000000000000,1617.000000000000000,63170.000000000000000,9881.000000000000000,AV BARBOSA LIMA,Avenida Barbosa Lima,Av Barbosa Lima,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,269.448094449999985,0.000000000000000,272.609562948000018,272.609562945688026
1765.000000000000000,1746.000000000000000,63294.000000000000000,11347.000000000000000,RUA BERNARDO VIEIRA DE MELO,Rua Bernardo Vieira de Melo,R. Bernardo Vieira de Melo,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,422.361649349999993,0.000000000000000,429.270979316000023,429.270979318197476
1780.000000000000000,1763.000000000000000,63311.000000000000000,11894.000000000000000,RUA DO BOM JESUS,Rua do Bom Jesus,R. do Bom Jesus,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,337.560629670000026,0.000000000000000,342.601070989999982,342.601070989694449
1875.000000000000000,1856.000000000000000,63410.000000000000000,12580.000000000000000,RUA DO BRUM,Rua do Brum,R. do Brum,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,720.172119370000019,0.000000000000000,731.851359290999881,731.851359291292283
2077.000000000000000,574.000000000000000,62125.000000000000000,3638.000000000000000,RUA ALVARES CABRAL,Rua Álvares Cabral,R. Alvares Cabral,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,211.753135759999992,0.000000000000000,213.871325350000006,213.871325350416214
2367.000000000000000,864.000000000000000,62425.000000000000000,2348.000000000000000,RUA ALFANDEGA,Rua Alfândega,R. Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,82.058135510000000,0.000000000000000,82.873437171000006,82.873437170094434
2381.000000000000000,878.000000000000000,62424.000000000000000,2330.000000000000000,C DA ALFANDEGA,Cais da Alfândega,C da Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,463.287807240000006,0.000000000000000,470.255600700999992,470.255600700486809
2382.000000000000000,879.000000000000000,62441.000000000000000,2496.000000000000000,AV ALFREDO LISBOA,Avenida Alfredo Lisboa,Av Alfredo Lisboa,S,Via Pavimentada,CTUS,,,2022/03/10 21:00:00.000,1059.125224249999974,0.000000000000000,1075.015675610000017,1075.015675609734217
2907.000000000000000,4392.000000000000000,65940.000000000000000,42528.000000000000000,RUA DONA MARIA CESAR,Rua Dona Maria Cesar,R. Dona Maria Cesar,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,201.308095659999992,0.000000000000000,204.533172680999996,204.533172681042089
2961.000000000000000,4446.000000000000000,65997.000000000000000,43206.000000000000000,RUA MARIZ E BARROS,Rua Mariz e Barros,R. Mariz e Barros,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,348.812892649999981,0.000000000000000,354.487530267000011,354.487530268250396
3444.000000000000000,3915.000000000000000,65473.000000000000000,35050.000000000000000,RUA DE SAO JORGE,Rua de São Jorge,R. de São Jorge,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,590.771398579999982,0.000000000000000,600.116833957000040,600.116833957798576
