FID,db_98s17_h,objectid,clogracodi,nlograconc,nlgpavofic,nlgpavresu,flgpavindp,indpav,ct,nmperimetr,nmtpvia,ttrechosul,db2gse_sde,sel,st_length_,Shape__Len,emails_acesso,link_formulario,link_respostas
68,66,61620,67822,RUA DOS ARRECIFES,Rua dos Arrecifes,R. dos Arrecifes,S,Via Pavimentada,,,,2022/03/10 21:00:00,57.05550497,0,57.62174992,57.62174992,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSf3_BflM4GekGm6AqtbEK1CL81yYlYGkr-FxPtatu3mrEUJzA/viewform,https://docs.google.com/spreadsheets/d/1C48unxuMf6ZX6oTaC0Vx0WxlgwEzFIPPwBmukEuM29M/edit
70,68,61622,67857,RUA BIONE,Rua Bione,R. Bione,S,Via Pavimentada,,,,2022/03/10 21:00:00,176.6216525,0,178.3979364,178.3979364,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdd_Ez29nvQBjrs7eZn6_zWq_4xF2r-d9MACkNB9KKeFS_5rw/viewform,https://docs.google.com/spreadsheets/d/1LdHr9V7vDTlrdS71oUlBpprTrIFZpaJR6rMZG1zS12M/edit
91,89,61644,67938,RUA BARAO RODRIGUES MENDES,Rua Barão Rodrigues Mendes,R. Barão Rodrigues Mendes,S,Via Pavimentada,,,,2022/03/10 21:00:00,146.9556873,0,148.6370671,148.6370671,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfWkSx9Vt7ufOGjBf0C1lx0zkBciO6FPY3I52eJ7z3mFvLyNQ/viewform,https://docs.google.com/spreadsheets/d/1xWcbW2_rTjB-WB-Bw3__8fs_7IBBom_WivajEGWpNCU/edit
620,1110,62661,4391,TRV DO AMORIM,Travessa do Amorim,Trv do Amorim,S,Via Pavimentada,,,,2022/03/10 21:00:00,111.8435621,0,112.9565995,112.9565995,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeTMvJSbLPvhufi4OhUYT0JnSWImo6WFcmAsOET5TdTZa2gAw/viewform,https://docs.google.com/spreadsheets/d/1YBXO6FCexr7NcP-eoxrZxzeXW5AGtFT5ft71iOFSIYQ/edit
838,1324,62873,6564,C DO APOLO,Cais do Apolo,C. do Apolo,S,Via Pavimentada,CTUP,,,2022/03/10 21:00:00,2211.619846,0,2246.599354,2246.599354,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSdog4hhQIxxLW8-TRRITz8aiBgNRNSPwWAkJ7LdkozROs2eiQ/viewform,https://docs.google.com/spreadsheets/d/1cm7bea44dGH_mv_X8QsTvsAZCkAjzLuK4hi9gGrr8xc/edit
839,1325,62874,6572,RUA DO APOLO,Rua do Apolo,R. do Apolo,S,Via Pavimentada,,,,2022/03/10 21:00:00,271.7406797,0,275.6389998,275.6389998,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSeh_eM2zx4xpcwfHndLIIebATih69KtxQAaeGtyrAeHa2oetA/viewform,https://docs.google.com/spreadsheets/d/1q5CuhhW5z5whDacDyG4R6uzD3UpYneLctVlaZLtuwVU/edit
999,1487,63045,8567,RUA DR ASCANIO PEIXOTO,Rua Dr Ascânio Peixoto,R. Dr Ascanio Peixoto,S,Via Pavimentada,,,,2022/03/10 21:00:00,1020.413102,0,1034.940307,1034.940307,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfC9_t1hfUPlj1e2s2izgICOtQ9Gm8VF_akFJySB5-ml7eH_A/viewform,https://docs.google.com/spreadsheets/d/1AFlQtjeXxQs7lssEHtdfAhHaDIVexvw_psdPnAU-x2U/edit
1513,2490,64041,19429,RUA MADRE DE DEUS,Rua Madre de Deus,R. Madre de Deus,S,Via Pavimentada,,,,2022/03/10 21:00:00,423.800402,0,430.7194745,430.7194745,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSfL53Z9_VjwqHoEDNyCP3oEHFu7hQyRTfDFxV4-8i7Vk3z-EQ/viewform,https://docs.google.com/spreadsheets/d/1sXEDoTZxp0t8ucnRrUmT4xUp2GSKnk-NxThCoE4QtI0/edit
1521,1508,63052,8648,RUA DA ASSEMBLEIA,Rua da Assembleia,R. da Assembleia,S,Via Pavimentada,,,,2022/03/10 21:00:00,125.6929806,0,127.7043839,127.7043839,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSe9rZKKrrZPXvmw0K3rVz7HhFfhZDVmy1Buhcsfrl9MDokwXg/viewform,https://docs.google.com/spreadsheets/d/1HYBq0H3gQbuc8AmxifBvStME8WlyOoKHBPHiMDENbp0/edit
1635,1617,63170,9881,AV BARBOSA LIMA,Avenida Barbosa Lima,Av Barbosa Lima,S,Via Pavimentada,,,,2022/03/10 21:00:00,269.4480944,0,272.6095629,272.6095629,"acdsj@cesar.school, frrs@cesar.school, meen@cesar.school, mfss@cesar.school, srcss@cesar.school, tsbs@cesar.school",https://docs.google.com/forms/d/e/1FAIpQLSc3_17AmwXr5vR35u45YqiXfJslEeFW60FuO-XJARR_zdHGOw/viewform,https://docs.google.com/spreadsheets/d/1d9ZJbP-v5GZpmmYsNqKx_hL-ALXDCMYJEhxt3T8hkX0/edit
